1	0.0328699	-0.0279871	0.00244141
1.25	0.0772562	-0.0723734	0.00244141
1.5	0.0185863	-0.0137035	0.00244141
1.75	0.073735	-0.0688521	0.00244141
2	-0.00793184	0.0128146	0.00244141
2.25	0.0216469	-0.0167641	0.00244141
2.5	-0.0230402	0.027923	0.00244141
2.75	0.00904922	-0.00416641	0.00244141
3	0.0120955	-0.0072127	0.00244141
3.25	0.0118553	-0.00697246	0.00244141
3.5	-0.00226855	0.00715137	0.00244141
3.75	0.00586738	-0.00098457	0.00244141
4	0.0147555	-0.00987266	0.00244141
4.25	0.00217305	0.00270977	0.00244141
4.5	-0.00371855	0.00860137	0.00244141
4.75	0.00586875	-0.000985938	0.00244141
5	-0.00292734	0.00781016	0.00244141
