1	-0.00768237	0.000846436	-0.00341797
1.25	-0.0123866	0.00555068	-0.00341797
1.5	0.0027376	-0.00957354	-0.00341797
1.75	-0.00290615	-0.00392979	-0.00341797
2	0.00354995	-0.0103859	-0.00341797
2.25	-0.00554321	-0.00129272	-0.00341797
2.5	-0.01411	0.00727407	-0.00341797
2.75	-0.00851982	0.00168389	-0.00341797
3	-0.00908325	0.00224731	-0.00341797
3.25	-0.00543613	-0.0013998	-0.00341797
3.5	-0.000285352	-0.00655059	-0.00341797
3.75	-0.0140046	0.0071687	-0.00341797
4	-0.0122209	0.00538501	-0.00341797
4.25	-0.00538335	-0.00145259	-0.00341797
4.5	-0.000935547	-0.00590039	-0.00341797
4.75	-0.00309219	-0.00374375	-0.00341797
5	-0.0054751	-0.00136084	-0.00341797
