1	0.150702	-0.0491391	0.0507813
1.25	0.114953	-0.0133906	0.0507813
1.5	0.164708	-0.0631453	0.0507813
1.75	0.102395	-0.000832031	0.0507813
2	0.213953	-0.112391	0.0507813
2.25	0.0847766	0.0167859	0.0507813
2.5	0.0678813	0.0336813	0.0507813
2.75	0.0422375	0.059325	0.0507813
3	0.0406211	0.0609414	0.0507813
3.25	0.0476258	0.0539367	0.0507813
3.5	0.0602172	0.0413453	0.0507813
3.75	0.0523375	0.049225	0.0507813
4	0.0477797	0.0537828	0.0507813
4.25	0.0593305	0.042232	0.0507813
4.5	0.0509664	0.0505961	0.0507813
4.75	0.0519055	0.049657	0.0507813
5	0.0476703	0.0538922	0.0507813
